year,month,day,time,temperature,precipitation,windspeed
2010,5,17,2010-05-17 12:51 AM,62.1,,
2010,5,17,2010-05-17 1:51 AM,60.1,,
2010,5,17,2010-05-17 2:51 AM,59.0,,
2010,5,17,2010-05-17 3:51 AM,57.9,,
2010,5,17,2010-05-17 4:51 AM,55.9,,
2010,5,17,2010-05-17 5:51 AM,55.0,,
2010,5,17,2010-05-17 6:51 AM,57.0,,
2010,5,17,2010-05-17 7:51 AM,57.9,,
2010,5,17,2010-05-17 8:51 AM,62.1,,
2010,5,17,2010-05-17 9:51 AM,66.0,,
2010,5,17,2010-05-17 10:51 AM,69.1,,
2010,5,17,2010-05-17 11:51 AM,72.0,,
2010,5,17,2010-05-17 12:51 PM,72.0,,
2010,5,17,2010-05-17 1:51 PM,73.0,,
2010,5,17,2010-05-17 2:51 PM,72.0,,
2010,5,17,2010-05-17 3:51 PM,71.1,,
2010,5,17,2010-05-17 4:51 PM,69.1,,
2010,5,17,2010-05-17 5:51 PM,68.0,,
2010,5,17,2010-05-17 6:51 PM,68.0,,
2010,5,17,2010-05-17 7:51 PM,66.9,,
2010,5,17,2010-05-17 8:51 PM,66.0,,
2010,5,17,2010-05-17 9:51 PM,64.9,,
2010,5,17,2010-05-17 10:51 PM,64.0,,
2010,5,17,2010-05-17 11:51 PM,62.1,,
