year,month,day,time,temperature,precipitation,windspeed
2009,2,11,2009-02-11 12:51 AM,45.0,,
2009,2,11,2009-02-11 1:51 AM,46.9,,
2009,2,11,2009-02-11 2:51 AM,48.9,,
2009,2,11,2009-02-11 3:51 AM,48.9,,
2009,2,11,2009-02-11 4:51 AM,48.0,,
2009,2,11,2009-02-11 5:51 AM,48.0,,
2009,2,11,2009-02-11 6:51 AM,48.0,,
2009,2,11,2009-02-11 7:51 AM,48.0,,
2009,2,11,2009-02-11 8:51 AM,51.1,,
2009,2,11,2009-02-11 9:51 AM,52.0,,
2009,2,11,2009-02-11 10:51 AM,57.0,,
2009,2,11,2009-02-11 11:51 AM,61.0,,
2009,2,11,2009-02-11 12:51 PM,63.0,,
2009,2,11,2009-02-11 1:51 PM,64.0,,
2009,2,11,2009-02-11 2:51 PM,59.0,,
2009,2,11,2009-02-11 3:51 PM,57.9,,
2009,2,11,2009-02-11 4:51 PM,57.0,,
2009,2,11,2009-02-11 5:51 PM,53.1,,
2009,2,11,2009-02-11 6:51 PM,52.0,,
2009,2,11,2009-02-11 7:51 PM,51.1,,
2009,2,11,2009-02-11 8:51 PM,50.0,,
2009,2,11,2009-02-11 9:51 PM,52.0,,
2009,2,11,2009-02-11 10:51 PM,54.0,,
2009,2,11,2009-02-11 11:51 PM,52.0,,
